wavelength,blue_01_01,blue_01_02,blue_01_03,blue_02_01,blue_02_02,blue_02_03,blue_03_01,blue_03_02,blue_03_03
402,0.0,0.06393491043390359,0.0,0.008442955486111828,0.0,0.0,0.0510590716791354,0.0,0.07768238883293209
406,0.04719273788511978,0.06343414238550615,0.0,0.028788830905052187,0.0,0.08252476666453726,0.0,0.05056935192085346,0.0
410,0.1164989236413743,0.057039370530767824,0.08814279145332478,0.0763375221008556,0.029476628840643324,0.0,0.02773907145745172,0.006203778165614354,0.05073748340376891
414,0.0683537310082196,0.0,0.0657740577692924,0.034599154582532314,0.0050321772651306315,0.0,0.06603941344795188,0.10523342328970256,0.02562808390602835
418,0.035944381380390404,0.030723750250636547,0.03962565264442654,0.14251444008474068,0.04620043479941364,0.04676873488207829,0.04504679359341666,0.13150097349143064,0.06332524201067972
422,0.08035626473694388,0.09166459780697189,0.02080357888136745,0.03689029795274517,0.013910477186543178,0.0,0.04244078698957151,0.0,0.019608560075891773
426,0.12622068207962744,0.056434363992383635,0.2691267724825521,0.026255012242676633,0.05015358602246892,0.06340856546732132,0.06936353512197094,0.0,0.05146185173353785
430,0.07746572185063036,0.0,0.14385679657932504,0.07184646712212875,0.05629455868923083,0.0723474458337352,0.06846756781447932,0.06186770773276384,0.08630894743413692
434,0.049054668131618004,0.06853221926913915,0.0,0.15654621090148257,0.05507647874146601,0.08962133423418453,0.14419358365277712,0.08295088119579133,0.007693882975388512
438,0.09557370200870753,0.000549429658867423,0.050875619733102825,0.038817948928745245,0.052009981647143974,0.1613341103619521,0.15017187200119816,0.16854552844228432,0.026413156293759184
442,0.07354956947845558,0.022569357625874607,0.039733260536478826,0.04238426482119962,0.03665320232715852,0.04778597558443332,0.08032476143617123,0.09004318021207271,0.12790215380862846
446,0.17924810292939375,0.12006448005586304,0.15545285980315948,0.007758380011508914,0.08381234538503274,0.12439369158202344,0.10955577542338335,0.0927996111932344,0.04760260248595581
450,0.05556715146724621,0.0639197517912236,0.0,0.05639855869784598,0.013508371192066333,0.07937650394870288,0.07165641592188109,0.10004256110544857,0.08511794948307919
454,0.043964011307231425,0.16501097865527015,0.0,0.06162219733995253,0.0642790319384681,0.12770724470139155,0.14784871961810117,0.0028961409432923663,0.040786895341480355
458,0.1735861814144239,0.02707038866083669,0.0013817664929903356,0.11931205885566044,0.16853110923417394,0.0,0.08260868621226058,0.17978506427778446,0.11973555990390541
462,0.17779647595023718,0.0321304772944431,0.021378045012224095,0.18287701505040838,0.07709606086863852,0.10215098306910429,0.09120815047386727,0.08474125444409258,0.07503970353038406
466,0.06224506269730774,0.0931690907454483,0.0044329251625233185,0.0708805573820017,0.04064368972957247,0.11954317617891787,0.15044041350054577,0.060652634425043164,0.12069130435701417
470,0.039798632095874524,0.1746282501033371,0.020017860067685106,0.1053753879051834,0.06228296640285767,0.06012723133123947,0.10383906969684271,0.1422234966432439,0.050814093263307374
474,0.1563547238867521,0.06314814794657714,0.1673827324623361,0.1424786498186656,0.15195940950419984,0.046061712488181,0.11971537410555898,0.20742627845296477,0.0391412862618389
478,0.22127518372453575,0.05396405180370281,0.03182497403953018,0.210870754221877,0.16480921684756106,0.15778034497707785,0.0966350083142001,0.0603914640995648,0.09143558266594894
482,0.030183594907054426,0.0024863860400881205,0.20843045111936748,0.11721486143638017,0.02852891430145807,0.059291704760997155,0.09944436913292881,0.06827578633236231,0.09892656349235088
486,0.11965347596213613,0.05592802333143361,0.05696417640224442,0.18669864340388193,0.19818358711337636,0.24861879539779602,0.1616561709765604,0.18225263317060658,0.1269122561206863
490,0.18297780393799362,0.11502697703171127,0.03747848982768877,0.06854169854356643,0.09852812348965093,0.14085601222909455,0.11610353669442068,0.125854302980617,0.11369551756446487
494,0.2122335138403052,0.09638009483521225,0.011988096849022314,0.07444647750320871,0.1679031450900424,0.14529344703981661,0.11045565533948072,0.12399200389745563,0.05434412982069564
498,0.2341965997758957,0.16664193264686047,0.10355816192013588,0.12297817219881997,0.1301669961176026,0.19295843057960857,0.14635663133237786,0.10424792558592495,0.1575357941668791
502,0.21640724837544162,0.2296931014530979,0.09750629261736972,0.08251511869647535,0.18026667149471717,0.07812544991405172,0.14167200226550763,0.07593217786669415,0.19293885201845323
506,0.08281910660011861,0.06273604425523804,0.21008213716758561,0.11016832396271992,0.1574827481610731,0.11983549983718747,0.1647902706531183,0.22927685761763844,0.1580810538230337
510,0.22539317349458862,0.10674768459271719,0.12897059124954144,0.20381164911402316,0.09814991566550646,0.20192601153924483,0.13766899102961044,0.15765009268258157,0.05190480814838369
514,0.11354891307383413,0.03273591136215705,0.19169429978282954,0.2980935731674481,0.09067951756284852,0.22100423507425543,0.22991984109873137,0.13719965938396633,0.11256712753364709
518,0.262619544494601,0.048157949301512945,0.18364833792537044,0.16040256518946588,0.17586049537160434,0.19677133949885414,0.22224482431001696,0.14458197709865833,0.07319732299749399
522,0.10931791985169503,0.11266780896200905,0.09416257659968869,0.2495624868870795,0.08507875873876074,0.12130797640610476,0.13604487591460154,0.1357173416534704,0.2665402453321418
526,0.2932099109304597,0.18845262612427047,0.21491289849110765,0.015298427569906764,0.15775824599037258,0.21927128574090704,0.15296386889963112,0.15746534234154785,0.15138445385456215
530,0.04458108984508803,0.20754148239477008,0.2993012600772574,0.23273449456968617,0.15719464361670296,0.2601616576979477,0.08614903575922307,0.21533644589813927,0.21662551158953258
534,0.11323732434972197,0.15735289480993062,0.2479269222841801,0.09296869253229462,0.17600387041365362,0.21478573051410804,0.17039321105772015,0.11759096174874287,0.13513719781124284
538,0.12363034522751143,0.0868337956122518,0.18389446207927518,0.2585794680267095,0.25162149363925657,0.21058718406523413,0.14689890093398222,0.11537918718841388,0.11398869181255121
542,0.1273824876377037,0.11731876872141161,0.1214292995186895,0.10139427373158548,0.2721606798376562,0.25071550233364787,0.19290765400268672,0.1279787912277222,0.14091157090429593
546,0.06837476665974887,0.08859420909710748,0.2087004954591566,0.07218851239322517,0.1430887524025742,0.16745360120568675,0.0764182988064997,0.22486540272429253,0.1989111399161665
550,0.15386695040375667,0.21355510351005932,0.21024572034143407,0.3037598174759713,0.30054399468179993,0.23484105555110937,0.0683922704998096,0.1960424717049569,0.23349119140748154
554,0.1329345695568262,0.21706139421453471,0.13090343442295022,0.28503365752466836,0.09489661574317287,0.18710568373049652,0.20191666230538854,0.2514919169593603,0.2143239825059652
